"month","site_no","NO3_Estimate","NO3_Upper","NO3_Lower"
"2017-11","lktexana_g",353.3130185556423,545.1769838347327,231.15503108531684
"2017-12","lktexana_g",434.7759530748419,667.0782143296599,281.90720343986027
"2018-01","lktexana_g",643.4581031043651,990.334115554031,418.6447703024341
"2018-02","lktexana_g",1095.7864075774617,1658.6996563273656,733.3795232670158
"2018-03","lktexana_g",741.8028604920823,1098.6816472564838,504.1564693687232
"2018-04","lktexana_g",1458.6367271394504,2108.3868755225253,1012.7606341537555
"2018-05","lktexana_g",719.7121246419968,1032.596718377661,509.38816166369105
"2018-06","lktexana_g",2365.106403838475,4070.830786528528,1398.457686043273
"2018-07","lktexana_g",1530.1074266342334,2211.306247581398,1080.3397856157826
"2018-08","lktexana_g",600.2958873850087,878.6704081388086,417.19374185086275
"2018-09","lktexana_g",1053.8187693113603,1815.3416434651208,629.2461445405281
"2018-10","lktexana_g",5171.925037012352,9293.928707537038,2880.9153256142285
"2018-11","lktexana_g",4371.671356993806,7908.659569063736,2365.2839987521306
"2018-12","lktexana_g",25992.33041689033,44480.61132090977,15458.257098794187
"2019-01","lktexana_g",8057.664810540591,13955.599097652948,4664.4014191598635
"2019-02","lktexana_g",12316.961761784243,19354.327414075866,7990.139606585961
"2019-03","lktexana_g",7170.183879491057,11559.172309605367,4490.452557009478
"2019-04","lktexana_g",2410.1598175951704,3427.141173255175,1738.0901620304353
"2019-05","lktexana_g",31592.162199054685,47265.5468980241,21278.389213685958
"2019-06","lktexana_g",36864.31414915899,55158.70944083926,25075.62028699851
"2019-07","lktexana_g",3228.2241570833876,4622.369411754525,2285.6973109288865
"2019-08","lktexana_g",896.5765441899301,1260.5450899427747,626.3394779793758
"2019-09","lktexana_g",560.970850812428,900.4470943101802,347.6361996099934
"2019-10","lktexana_g",115.63386321292005,181.16412309745772,74.06711802466134
"2019-11","lktexana_g",301.9564018969243,470.37614033962257,194.06331775918363
"2019-12","lktexana_g",117.44305452189104,183.57696337965925,75.32566823130325
"2020-01","lktexana_g",46.5401134643306,75.36649115578203,29.914649615618846
"2020-02","lktexana_g",53.54708231294778,85.65406794312076,34.52091168768379
"2020-03","lktexana_g",86.42311939120881,133.32606085562446,55.34582212065093
"2020-04","lktexana_g",1325.4992741308408,2011.8155068165913,886.8859879593233
"2020-05","lktexana_g",5555.59426646213,9434.430287663601,3206.6490812439324
"2020-06","lktexana_g",14243.591319927884,23796.328154894574,8382.743192740454
"2020-07","lktexana_g",1896.9254327784927,2997.74267516047,1231.4450330076415
"2020-08","lktexana_g",322.91531393089934,476.402114635153,220.02873832571112
"2020-09","lktexana_g",6536.14470759853,12670.884107608477,3365.2384167020177
"2020-10","lktexana_g",182.84502401796155,307.93469967248046,105.18814339628887
"2020-11","lktexana_g",111.06500847010567,180.23283472279633,66.46680332021698
"2020-12","lktexana_g",5869.342730386144,11021.811116047798,3268.149053108948
"2005-01","usgs08164390",8271.15687940658,13207.497566898272,5066.969823991639
"2005-02","usgs08164390",30011.05308510147,49149.44254187848,17879.247648532553
"2005-03","usgs08164390",31519.66690424068,51461.345338672945,19016.39396615492
"2005-04","usgs08164390",2090.897607142798,2785.4481511470253,1532.7913858713039
"2005-05","usgs08164390",17909.29029566401,28557.200288343327,11546.267297953384
"2005-06","usgs08164390",3539.7936970497817,5358.434629895979,2404.0755808437493
"2005-07","usgs08164390",1011.9188315348651,1529.9193065555896,673.3441952440529
"2005-08","usgs08164390",13.26397362665023,24.013319370672285,7.333380725845161
"2005-09","usgs08164390",146.56654431473825,237.8055842008308,89.94110213331987
"2005-10","usgs08164390",2141.6997648547863,3520.426241416402,1314.2307040284254
"2005-11","usgs08164390",238.59724993311968,362.8088124738507,156.5713380297322
"2005-12","usgs08164390",180.2534364750693,267.45117752996146,119.93467101813629
"2006-01","usgs08164390",329.0483712671681,470.65108404163743,228.53875360197725
"2006-02","usgs08164390",422.96072117726914,594.6419998065605,299.2785528392191
"2006-03","usgs08164390",486.2943770226628,690.1546748015014,347.90439580886226
"2006-04","usgs08164390",248.91183813968388,364.1861677684653,171.97256506728792
"2006-05","usgs08164390",648.2937152202034,1011.0653968537615,416.15232966926015
"2006-06","usgs08164390",2830.3682453975425,4378.175708213623,1862.631423145295
"2006-07","usgs08164390",4009.9882536881933,6559.800370009987,2543.9161611136774
"2006-08","usgs08164390",24.254922818651323,40.61977472181967,14.1967115855852
"2006-09","usgs08164390",1888.4479793225146,3020.888610304667,1194.2770355534751
"2006-10","usgs08164390",2800.2220642717393,4559.135345445154,1714.335121122501
"2006-11","usgs08164390",7.699797257754259,14.996549253861245,3.9722077752150984
"2006-12","usgs08164390",8.042789446527916,15.025679528088824,4.332177790502366
"2007-01","usgs08164390",26397.758417199104,39052.570360751604,17977.8021274281
"2007-02","usgs08164390",1246.8701342793943,1728.7407924978893,899.759736225505
"2007-03","usgs08164390",29395.506191776487,44020.10966337292,19614.68105880928
"2007-04","usgs08164390",17737.361980853588,26106.781007326612,11924.51863509695
"2007-05","usgs08164390",86998.08579262946,136323.07134847168,57741.81318305544
"2007-06","usgs08164390",5140.262531120177,7326.746162942508,3692.801049797215
"2007-07","usgs08164390",72148.3410424258,117047.50554021986,46786.39605143906
