"Date","Flow","log1p_Flow","site_no","TP_Estimate","TP_Upper","TP_Lower"
2010-02-02,182.001,5.209486152841421,"usgs08164000",72.98476070021955,87.47467786456035,61.478022799927544
2010-02-03,178.001,5.187385805840755,"usgs08164000",72.45261523293762,86.98287155352995,60.73103626674488
2010-02-04,513.001,6.2422232654551655,"usgs08164000",214.86718307864604,260.5414335958708,178.89524086971312
2010-02-05,1150.001,7.048386408721883,"usgs08164000",573.6724449671965,713.9352659053498,465.7285058479548
2010-02-06,1170.001,7.065613363597717,"usgs08164000",677.1282150814466,849.3859464865582,542.8967845848554
2010-02-07,502.001,6.220590170099739,"usgs08164000",286.2418623230613,356.03831505766925,230.4268679831825
2010-02-08,295.001,5.69035945432406,"usgs08164000",136.48634578336785,166.34130325804404,113.84231095477332
2010-02-09,242.00099999999995,5.493061443340548,"usgs08164000",95.52682357237617,114.84177630429178,80.48530741747683
2010-02-10,221.001,5.402677381872279,"usgs08164000",90.1175929407036,108.08568784458834,75.94134468269814
2010-02-11,515.001,6.246106765481563,"usgs08164000",219.48373381177854,266.92290670281125,182.55952041284348
2010-02-12,3940.0009999999993,8.279189777195004,"usgs08164000",1805.260420669047,2190.6374763261083,1503.6619290272438
2010-02-13,5890.001,8.681181041521688,"usgs08164000",3919.2552455547093,5152.106659972935,3033.550970530472
2010-02-14,1470.001,7.293697720601438,"usgs08164000",1019.2464264098076,1365.1797493619526,774.1997335713834
2010-02-15,454.001,6.12029741895095,"usgs08164000",249.27942067760708,310.12258915003395,201.31123112016664
2010-02-16,315.001,5.755742213586912,"usgs08164000",126.29604045515143,152.1705302610571,106.62037043650471
2010-02-17,255.001,5.545177444479562,"usgs08164000",105.16338738488791,126.15851043902188,88.76186748955685
2010-02-18,223.001,5.4116460518550396,"usgs08164000",93.7271217112859,113.16185265409926,78.42567387743703
2010-02-19,204.001,5.3230099791384085,"usgs08164000",86.0385501124097,104.07027031660584,71.60881950171117
2010-02-20,191.00099999999995,5.2574953720277815,"usgs08164000",81.0151968657999,97.81302717123202,67.26322632039472
2010-02-21,182.001,5.209486152841421,"usgs08164000",77.57679518421403,93.66582533532234,64.39357259684633
2010-02-22,176.00099999999995,5.176149732573829,"usgs08164000",75.28618918970325,90.93631885180174,62.51525550684385
2010-02-23,168.001,5.1298987149230735,"usgs08164000",71.92466963826725,86.89747724028007,59.63753392581283
2010-02-24,163.001,5.099866427824199,"usgs08164000",70.18530177372004,84.83146474918172,58.00373269386151
2010-02-25,155.001,5.049856007249537,"usgs08164000",66.85218305228675,80.93619803803746,55.16750753266734
2010-02-26,156.00099999999998,5.056245805348308,"usgs08164000",67.96076389392321,82.82139930040034,55.58021401286884
2010-02-27,152.001,5.030437921392435,"usgs08164000",65.91272261929397,79.91676596037297,54.22216998066604
2010-02-28,144.001,4.976733742420574,"usgs08164000",62.51868085592542,75.92832947232003,51.3604082048722
2010-03-01,149.001,5.0106352940962555,"usgs08164000",65.91832688996172,81.37219197117037,53.71352273641007
2010-03-02,160.001,5.081404364984463,"usgs08164000",70.48166657647323,86.56552626901654,57.589232842029176
2010-03-03,166.00099999999998,5.117993812416755,"usgs08164000",72.09509458288582,87.14670948464195,59.74341375564215
2010-03-04,161.00099999999998,5.087596335232384,"usgs08164000",69.27293131904766,83.35700025638467,57.59815612376781
2010-03-05,145.001,4.983606621708336,"usgs08164000",61.99620740203116,74.61163788687419,51.69912570473555
2010-03-06,136.001,4.919980925828125,"usgs08164000",58.458729310937315,70.36883830577298,48.695731718351794
2010-03-07,132.001,4.890349128221754,"usgs08164000",56.55745665875405,68.05548204654247,47.116617653115554
2010-03-08,131.001,4.882801922586371,"usgs08164000",55.95060755812452,67.2918427494518,46.845907176403735
2010-03-09,132.001,4.890349128221754,"usgs08164000",56.199897579765256,67.59067334342427,47.20295737880656
2010-03-10,134.001,4.90527477843843,"usgs08164000",56.78887958891067,68.24705502825245,47.86706408515772
2010-03-11,137.001,4.927253685157205,"usgs08164000",57.76487081051872,69.49735985554479,48.77716259779521
2010-03-12,132.001,4.890349128221754,"usgs08164000",54.78006032168241,65.69599582644642,46.532628062993865
2010-03-13,125.001,4.836281906951478,"usgs08164000",50.93381917662737,60.905274025301935,43.43023813094649
2010-03-14,120.001,4.795790545596741,"usgs08164000",48.224458328464415,57.8042253736224,41.138945665434164
2010-03-15,118.001,4.77912349311153,"usgs08164000",47.25246844640243,56.736700454766826,40.379995233392485
2010-03-16,117.001,4.770684624465665,"usgs08164000",46.93113589796946,56.2785148831333,40.16949143554568
2010-03-17,116.00099999999998,4.762173934797756,"usgs08164000",46.682335632340425,55.867766165924095,39.95634057112258
